PID,Country,Age,Gender,Counterbalance,Video_Gender,Smart,Behave,Grades,Edu_asp,nationality,nationality_other,origin,origin_other,parent,employment,employment_other,occupation,occupation_other,ethnicity,ethnicity_other,Education,SES,income_annual,,
67,1,70,Female,1,1,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Part-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,9,"$23,000 - $42,999",,
81,1,54,Female,1,1,1,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Full-time,,Other (please specify),Art,Caucasian,,Associate's degree or Certificate/Diploma,3,"Less than $22,999",,
104,1,60,Female,2,2,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Other,stay at home wife and mother,Unemployed,,Caucasian,,High/Secondary school,7,"$23,000 - $42,999",,
105,1,59,Male,1,2,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Full-time,,Other (please specify),I work with the national drag racing off Association,African,,High/Secondary school,3,"$23,000 - $42,999",,
110,1,48,Female,1,1,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,7,"Less than $22,999",,
N221,1,61,Male,1,1,1,1,1,Some college/university,United States of America,,United States of America,,No,Full-time,,"Construction, extraction, and maintenance",,African,,Associate's degree or Certificate/Diploma,7,"$43,000  - $74,999",,
N226,1,66,Male,1,1,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Some college/university,7,"$43,000  - $74,999",,
N243,1,42,Male,2,1,1,1,0,Some college/university,United States of America,,United States of America,,No,Full-time,,"Production, transportation, and material moving",,Latinx/Hispanic,,High/Secondary school,3,"Less than $22,999",,
N246,1,62,Female,2,1,1,1,1,PhD or other higher postgraduate degrees,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,9,"$75,000 - $95,999",,
N250,1,63,Male,1,2,1,1,1,Bachelor's degree or Honors degree,Other (please specify):,Bangladeshi ,Other (please specify):,Bangladesh ,Yes,Retired,,Retired,,Asian,,High/Secondary school,5,"Less than $22,999",,
N253,1,63,Male,2,1,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,7,"$23,000  - $42,999",,
N255,1,73,Male,2,1,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,High/Secondary school,5,"$23,000  - $42,999",,
N257,1,22,Male,1,1,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Student,,Student,,African,,Some college/university,8,"Less than $22,999",,
N280,1,51,Female,2,1,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,5,"$23,000  - $42,999",,
N289,1,51,Female,1,1,1,1,1,Some college/university,United States of America,,United States of America,,No,Full-time,,Sales and office,,Caucasian,,High/Secondary school,6,"$75,000 - $95,999",,
N304,1,18,Female,2,1,1,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Part-time,,Student,,Caucasian,,High/Secondary school,7,"$75,000 - $95,999",,
R108,1,31,Male,2,2,1,1,0,Some college/university,Other (please specify):,Dominican,Other (please specify):,Dominican republic,No,Unemployed,,Other (please specify),Filling out surveys,Latinx/Hispanic,,Some college/university,1,"$23,000  - $42,999",,
R114,1,52,Male,2,2,1,1,1,Master's degree,United States of America,,United States of America,,Yes,Full-time,,Service,,Caucasian,,Associate's degree or Certificate/Diploma,9,"$43,000  - $74,999",,
R53,1,66,Male,1,2,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Some college/university,7,"$43,000  - $74,999",,
R55,1,49,Female,2,1,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,2,"Less than $22,999",,
R66,1,36,Male,2,2,1,1,1,Master's degree,United States of America,,United States of America,,Yes,Full-time,,"Management, professional, and related",,African,,Bachelor's degree or Honors degree,6,"$75,000 - $95,999",,
R68,1,56,Female,2,2,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Part-time,,Other (please specify),Pet sitter,Caucasian,,Bachelor's degree or Honors degree,5,"Less than $22,999",,
R70,1,70,Male,2,1,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Part-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,7,"$43,000  - $74,999",,
R94,1,43,Male,2,2,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Retired,,Retired,,Native American,,Some high/secondary school,10,"Less than $22,999",,
R96,1,51,Female,1,1,1,1,1,Some college/university,United States of America,,United States of America,,Yes,Part-time,,Other (please specify),Cater,Caucasian,,Some college/university,5,"Less than $22,999",,
R97,1,40,Male,2,1,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,6,"$23,000  - $42,999",,
6,1,69,Female,2,2,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"Less than $22,999",,
8,1,65,Female,1,2,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,7,"$75,000 - $95,999",,
25,1,70,Male,2,2,1,1,1,Some college/university,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Some college/university,4,"Less than $22,999",,
32,1,70,Male,2,2,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,3,"Less than $22,999",,
37,1,52,Female,2,1,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Unemployed,,Unemployed,,Caucasian,,Some college/university,8,"$96,000 - $199,999",,
38,1,39,Female,1,1,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Full-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,5,"$43,000 - $74,999",,
60,1,76,Male,1,1,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,7,"$43,000 - $74,999",,
61,1,56,Female,1,2,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Full-time,,Service,,Caucasian,,Associate's degree or Certificate/Diploma,3,"$23,000 - $42,999",,
68,1,53,Male,1,2,1,1,1,Some college/university,United States of America,,United States of America,,No,Full-time,,"Management, professional, and related",,Caucasian,,Some college/university,6,"$43,000 - $74,999",,
73,1,41,Male,1,1,1,1,1,Some college/university,United States of America,,United States of America,,Yes,Full-time,,"Management, professional, and related",,Latinx/Hispanic,,Bachelor's degree or Honors degree,8,"$96,000 - $199,999",,
74,1,71,Female,2,2,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"Less than $22,999",,
82,1,61,Female,2,1,1,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Full-time,,Other (please specify),education,Caucasian,,Bachelor's degree or Honors degree,6,"$43,000 - $74,999",,
99,1,51,Male,1,2,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"$96,000 - $199,999",,
106,1,63,Male,2,1,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Full-time,,Other (please specify),Machining,Caucasian,,Some college/university,5,"$75,000 - $95,999",,
135,1,50,Male,1,1,1,1,1,PhD or other higher postgraduate degrees,United States of America,,United States of America,,Yes,Full-time,,Other (please specify),IT,Caucasian,,Bachelor's degree or Honors degree,5,"$43,000 - $74,999",,
144,1,19,Female,1,2,1,1,0,High/Secondary school,United States of America,,United States of America,,No,Student,,Student,,Caucasian,,Some college/university,5,I don't know,,
153,1,30,Male,2,1,1,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Full-time,,Other (please specify),Engineering,Caucasian,,Master's degree,9,"$75,000 - $95,999",,
N212,1,51,Male,1,1,1,1,1,Some college/university,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,6,"Less than $22,999",,
N214,1,22,Male,1,1,1,1,1,PhD or other higher postgraduate degrees,United States of America,,United States of America,,No,Student,,Student,,Asian,,Some high/secondary school,7,"$75,000 - $95,999",,
N216,1,55,Male,2,1,1,1,1,Some college/university,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,7,"Less than $22,999",,
N219,1,67,Male,1,1,1,1,1,Some college/university,United States of America,,United States of America,,No,Retired,,Retired,,"Caucasian,Middle Eastern",,Some college/university,7,"$23,000  - $42,999",,
N222,1,40,Male,2,2,1,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Full-time,,"Construction, extraction, and maintenance",,Latinx/Hispanic,,High/Secondary school,9,"$43,000  - $74,999",,
N223,1,62,Male,1,1,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Part-time,,Service,,African,,Master's degree,6,"$23,000  - $42,999",,
N227,1,82,Male,2,2,1,1,1,Some college/university,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"$43,000  - $74,999",,
N228,1,68,Male,2,2,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,6,"$23,000  - $42,999",,
N230,1,65,Male,2,2,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Some college/university,8,"Less than $22,999",,
N232,1,71,Male,1,2,1,1,1,Some college/university,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Some college/university,2,"$23,000  - $42,999",,
N233,1,41,Male,1,1,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Unemployed,,Unemployed,,African,,Associate's degree or Certificate/Diploma,3,"$23,000  - $42,999",,
N236,1,58,Male,1,1,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Retired,,Retired,,Native American,,Some college/university,3,"Less than $22,999",,
N251,1,44,Male,1,2,1,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,6,"$75,000 - $95,999",,
N252,1,61,Male,2,2,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Some college/university,6,"$43,000  - $74,999",,
N259,1,56,Male,1,1,1,1,1,Some college/university,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,High/Secondary school,5,"$43,000  - $74,999",,
N265,1,48,Female,1,2,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Part-time,,"Construction, extraction, and maintenance",,Caucasian,,Some college/university,6,"$23,000  - $42,999",,
N267,1,72,Female,2,1,1,1,1,Master's degree,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,8,"$43,000  - $74,999",,
N269,1,68,Female,2,1,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,4,"$75,000 - $95,999",,
N270,1,69,Female,2,2,1,1,1,Master's degree,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,3,"$23,000  - $42,999",,
N272,1,47,Female,1,2,1,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Unemployed,,Unemployed,,Caucasian,,Some high/secondary school,2,"Less than $22,999",,
N273,1,63,Female,1,2,1,1,1,Master's degree,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Master's degree,7,"$75,000 - $95,999",,
N279,1,73,Female,1,2,1,1,1,Some college/university,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Some college/university,2,"Less than $22,999",,
N282,1,70,Female,1,2,1,1,1,Master's degree,United States of America,,United States of America,,Yes,Full-time,,Other (please specify),Social worker ,African,,Master's degree,9,"$43,000  - $74,999",,
N283,1,70,Female,1,1,1,1,1,Some college/university,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,High/Secondary school,3,"Less than $22,999",,
N284,1,46,Female,2,1,1,1,0,High/Secondary school,United States of America,,United States of America,,Yes,Unemployed,,Unemployed,,Caucasian,,Some high/secondary school,1,"Less than $22,999",,
N285,1,24,Female,2,2,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Caucasian,,Associate's degree or Certificate/Diploma,5,"$23,000  - $42,999",,
N287,1,69,Female,2,2,1,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,7,"Less than $22,999",,
N291,1,66,Female,2,2,1,1,0,Some college/university,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"$23,000  - $42,999",,
N294,1,70,Female,1,1,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,8,"$43,000  - $74,999",,
N295,1,56,Female,2,2,1,1,1,PhD or other higher postgraduate degrees,United States of America,,United States of America,,Yes,Other,Disable,Other (please specify),,Other,Black,High/Secondary school,5,"$23,000  - $42,999",,
N297,1,64,Female,2,1,1,1,0,High/Secondary school,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,3,"$23,000  - $42,999",,
N299,1,68,Female,1,1,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Retired,,Retired,,African,,Bachelor's degree or Honors degree,7,"$23,000  - $42,999",,
N301,1,55,Female,1,1,1,1,1,Some college/university,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Some college/university,3,"$43,000  - $74,999",,
N305,1,68,Female,1,2,1,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,6,"$23,000  - $42,999",,
N308,1,22,Female,1,2,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Student,,"Student,Other (please specify)",food service worker,Caucasian,,Some college/university,5,"Less than $22,999",,
N310,1,23,Female,1,1,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Full-time,,"Management, professional, and related,Sales and office",,Caucasian,,High/Secondary school,5,"$23,000  - $42,999",,
R101,1,29,Male,1,1,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Part-time,,Unemployed,,Other,Samoan,High/Secondary school,7,"Less than $22,999",,
R105,1,20,Male,2,1,1,1,1,High/Secondary school,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Other,Black,High/Secondary school,8,"Less than $22,999",,
R111,1,37,Male,1,2,1,1,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Unemployed,,Unemployed,,Caucasian,,Some college/university,8,"$23,000  - $42,999",,
